brand,name,province,city,district,address,lng,lat,rating,tel,type
超级碗,超级碗 FOODBOWL(成都软件园店),四川省,成都市,武侯区,世纪城路1129号A区9栋1层111号,104.070961,30.548238,4.3,18628010801,餐饮服务;中餐厅;中餐厅
超级碗,超级碗FOODBOWL(银泰IN99店),四川省,成都市,武侯区,天府大道北段1199号成都银泰中心in99负一楼32号,104.069673,30.584403,4.1,17713630420,餐饮服务;中餐厅;中餐厅
超级碗,超级碗FOODBOWL(高新智谷店),四川省,成都市,武侯区,益州大道中段1886号,104.056538,30.535986,3.7,13408521179,餐饮服务;餐饮相关场所;餐饮相关
超级碗,超级碗 FOODBOWL(成都来福士店),四川省,成都市,武侯区,来福士广场负二楼B258,104.067655,30.631906,4.2,19308060494,餐饮服务;中餐厅;中餐厅
超级碗,超级碗FOODBOWL(仁恒置地广场店),四川省,成都市,锦江区,人民南路二段1号1栋4层16号,104.067625,30.652125,4.2,,餐饮服务;餐饮相关场所;餐饮相关
超级碗,超级碗 FOODBOWL(成都中鼎店),四川省,成都市,锦江区,新希望中鼎国际中鼎316街区6-1-16项目,104.091265,30.590842,4.2,19130892132,餐饮服务;中餐厅;中式素菜馆
超级碗,超级碗FOODBOWL(成都悠方店),四川省,成都市,武侯区,交子大道悠方负一层,104.058776,30.583068,4.3,19102639910,餐饮服务;中餐厅;中餐厅
超级碗,超级碗 FOODBOWL(成都高新创合中心店),四川省,成都市,武侯区,吉瑞二路188号2栋1层122号,104.061665,30.557952,4.3,17716467298,餐饮服务;餐饮相关场所;餐饮相关
超级碗,超级碗FOODBOWL(成都IFS店),四川省,成都市,锦江区,红星路三段一号国际金融中心地下一层LG121B商铺,104.081665,30.654247,4.3,19115950429,餐饮服务;中餐厅;中餐厅
超级碗,超级碗 FOODBOWL(成都环贸ICD店),四川省,成都市,锦江区,东大路577号环贸icd负二层B226号超级碗,104.114233,30.63299,4.2,19938055360,餐饮服务;餐饮相关场所;餐饮相关
超级碗,超级碗FOODBOWL(成都万象城店),四川省,成都市,成华区,万象城A馆5楼,104.115053,30.649168,4.3,19048086490,餐饮服务;中餐厅;中餐厅
超级碗,喜赞超级碗健康轻食(九眼桥店),四川省,成都市,武侯区,共和村5号1栋2层23号,104.084428,30.635517,4.2,19982061769,餐饮服务;快餐厅;快餐厅
超级碗,成都超级碗高空酒店(环球中心店),四川省,成都市,武侯区,桂溪街道天府大道北段1777号招商玺荟4栋47楼19号,104.071213,30.575253,,,住宿服务;宾馆酒店;宾馆酒店
